Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
1,-12.86,0.328,2.24,86.071,0.224,8.59
2,-12.89,0.318,4.55,86.25,0.599,8.76
3,-14.01,0.271,2.8,86.507,0.667,8.98
4,-12.23,0.299,4.75,87.086,0.909,9.25
5,-13.6,0.331,2.86,84.494,0.876,9.55
6,-12.48,0.315,8.41,86.032,1.41,9.89
7,-11.25,0.381,2.47,85.018,1.164,10.25
8,-10.34,0.361,4.38,86.055,1.193,10.63
9,-10.34,0.425,3.7,83.994,1.148,11.02
10,-5.69,0.58,7.07,85.269,1.455,11.41
11,-0.56,1.279,5.5,79.182,1.495,11.81
12,-1.13,1.272,13.28,76.647,2.3,12.21
13,0.68,1.62,14.3,74.08,2.925,12.61
14,1.26,2.033,7.39,68.266,2.642,13
15,4,3.144,9.22,60.259,2.639,13.39
16,7.4,3.537,15.06,62.516,3.222,13.77
17,8.07,3.896,19.25,60.565,4.018,14.14
18,9.71,4.06,8.87,62.527,3.499,14.49
19,10.95,3.885,21.73,66.468,4.445,14.82
20,13.02,5.325,17.03,59.751,4.593,15.13
21,15.37,5.317,24.4,64.66,5.427,15.39
22,16.04,5.037,31.9,67.01,6.718,15.61
23,16.32,5.208,24.86,68.045,6.852,15.78
24,17.81,5.177,32.3,70.091,7.684,15.89
25,19.83,6.214,28.98,67.636,7.891,15.93
26,20.41,6.924,20.57,65.447,7.186,15.9
27,21.78,8.178,20.61,62.727,6.731,15.82
28,20.86,7.405,33.12,64.585,7.686,15.67
29,22.51,8.597,15.15,62.907,6.514,15.46
30,21.95,8.943,21.91,60.025,6.425,15.21
31,22.01,9.657,18.93,56.462,6.071,14.92
32,21.8,9.671,14.15,56.738,5.36,14.6
33,21.27,9.457,16.61,56.877,5.147,14.26
34,21.16,9.526,10.04,57.424,4.349,13.9
35,21.52,9.864,14.64,56.345,4.29,13.53
36,18.82,7.78,27.64,60.054,5.553,13.15
37,15.21,6.333,11.77,58.712,4.784,12.76
38,15.65,5.857,11.08,61.651,4.217,12.37
39,15.14,5.57,10.85,62.711,3.826,11.98
40,11.76,4.718,13.82,62.127,3.869,11.58
41,9.76,3.877,18.27,63.475,4.343,11.19
42,7.86,2.877,14.84,68.035,4.306,10.81
43,6.34,2.558,15.51,68.861,4.352,10.43
44,5.01,2.358,7.49,67.659,3.576,10.06
45,3.92,2.093,8.22,70.76,3.149,9.72
46,0.4,1.549,6.53,73.095,2.699,9.4
47,-3.4,0.938,4.56,78.737,2.21,9.11
48,-5.99,0.661,4.97,81.415,1.934,8.86
49,-8.63,0.546,6.67,82.461,1.922,8.67
50,-11.11,0.395,5.89,84.604,1.838,8.54
51,-10.15,0.308,3.08,88.274,1.502,8.48
52,-9.81,0.321,7.43,88.441,1.72,8.49
