Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,     -23.2,      0.23,       0.7,     80.29,      0.07,      8.59
   2,     -11.2,      0.27,       3.0,     89.49,      0.35,      8.76
   3,     -14.7,      0.26,       8.6,     86.32,      1.09,      8.98
   4,     -20.2,      0.26,       4.8,     81.58,      1.19,      9.25
   5,     -18.0,      0.29,       0.3,     82.98,      0.80,      9.55
   6,     -19.6,      0.29,       0.0,     81.02,      0.52,      9.89
   7,     -13.3,      0.31,       7.2,     86.31,      1.06,     10.25
   8,     -12.1,      0.33,       1.1,     85.21,      0.80,     10.63
   9,     -21.5,      0.32,       1.8,     76.83,      0.70,     11.02
  10,      -6.3,      0.50,       0.0,     86.52,      0.46,     11.41
  11,      -6.4,      0.50,       0.1,     85.32,      0.30,     11.81
  12,      -7.9,      0.56,      11.3,     80.90,      1.33,     12.21
  13,      -4.7,      0.62,      16.8,     83.72,      2.54,     12.61
  14,       0.5,      1.28,       3.1,     79.23,      1.96,     13.00
  15,       3.9,      3.24,       6.7,     53.25,      1.95,     13.39
  16,       4.9,      3.67,       1.8,     54.71,      1.45,     13.77
  17,       4.3,      1.56,      61.9,     78.59,      7.13,     14.14
  18,       6.2,      2.13,       3.3,     73.00,      4.97,     14.49
  19,       9.7,      2.03,      39.2,     81.31,      7.15,     14.82
  20,       9.8,      3.97,       7.2,     62.09,      5.37,     15.13
  21,      18.5,      7.05,       0.0,     61.59,      3.49,     15.39
  22,      20.5,      5.95,      96.0,     70.87,     11.87,     15.61
  23,      16.9,      5.82,      11.9,     62.83,      8.90,     15.78
  24,      16.5,      4.22,     104.8,     72.94,     16.26,     15.89
  25,      20.4,      5.97,      23.6,     69.41,     12.93,     15.93
  26,      19.6,      4.92,      50.3,     73.99,     13.44,     15.90
  27,      19.6,      6.36,      43.0,     66.66,     13.04,     15.82
  28,      18.4,      6.15,      15.7,     66.68,     10.04,     15.67
  29,      22.9,      9.27,      10.5,     60.46,      7.57,     15.46
  30,      19.7,      7.41,       4.0,     62.70,      5.32,     15.21
  31,      21.8,     10.13,       1.5,     53.05,      3.61,     14.92
  32,      21.9,      9.78,      13.4,     56.21,      3.68,     14.60
  33,      22.1,      8.26,      19.2,     64.01,      4.32,     14.26
  34,      21.4,      7.59,      23.9,     65.40,      5.20,     13.90
  35,      19.8,      6.88,      13.2,     64.06,      4.70,     13.53
  36,      19.3,      8.11,      12.1,     57.37,      4.27,     13.15
  37,      10.0,      4.17,       2.5,     58.94,      3.02,     12.76
  38,      16.7,      6.36,       6.0,     60.23,      2.57,     12.37
  39,      17.3,      6.32,       3.9,     65.61,      2.06,     11.98
  40,       8.0,      3.01,       9.2,     65.41,      2.26,     11.58
  41,       8.5,      3.81,       3.8,     58.48,      1.85,     11.19
  42,       9.7,      3.74,       0.8,     64.00,      1.29,     10.81
  43,      10.9,      4.97,       3.7,     54.50,      1.21,     10.43
  44,       2.7,      2.44,       1.5,     59.97,      0.93,     10.06
  45,      -1.0,      1.41,       5.9,     71.42,      1.20,      9.72
  46,      -9.8,      0.56,       3.0,     79.59,      1.08,      9.40
  47,      -7.6,      0.53,       0.7,     83.28,      0.77,      9.11
  48,     -14.8,      0.35,       2.2,     82.07,      0.72,      8.86
  49,      -8.1,      0.45,       0.8,     85.73,      0.54,      8.67
  50,      -1.1,      0.77,       3.9,     86.20,      0.74,      8.54
  51,      -4.9,      0.23,       2.6,     93.34,      0.74,      8.48
  52,     -10.4,      0.30,       0.1,     87.64,      0.49,      8.49
