Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
1,5.75,1.704,7.85,75.346,0.785,9.69
2,6.07,1.559,12.42,77.369,1.751,9.79
3,4.85,1.467,23.25,77.433,3.465,9.94
4,3.77,1.429,18.22,76.603,4.075,10.12
5,4.97,1.645,15.17,75.652,4.165,10.33
6,4.39,1.598,18.69,75.36,4.575,10.56
7,3.94,1.615,15.43,74.629,4.517,10.81
8,5.63,1.688,12.75,76.355,4.211,11.07
9,5.79,1.731,19.37,76.386,4.673,11.34
10,7.87,1.787,17.59,79.198,4.797,11.61
11,9.81,1.914,21.39,80.516,5.257,11.89
12,9.92,2.215,8.49,76.833,4.265,12.17
13,10.39,2.116,24.15,78.393,5.188,12.45
14,12.11,2.49,14.92,77.661,4.863,12.72
15,13.02,2.719,17.55,77.081,4.917,13
16,13.58,2.882,18.7,77.388,5.065,13.26
17,15.68,3.209,24.01,77.848,5.693,13.51
18,16.81,2.986,21.1,81.051,5.81,13.76
19,17.49,3.229,15.81,80.03,5.358,13.98
20,17.98,3.377,31.04,79.07,6.587,14.18
21,19.51,3.785,12.56,79.264,5.537,14.36
22,22.05,4.295,24.53,80.456,6.052,14.51
23,23.06,5.262,33.17,77.135,7.253,14.62
24,23.88,5.811,16.98,75.742,6.412,14.69
25,24.89,6.428,23.36,74.821,6.504,14.71
26,25.82,7.056,22.22,73.622,6.451,14.7
27,26.2,7.721,27.42,72.114,6.936,14.64
28,26.41,6.652,30.19,75.665,7.525,14.54
29,27.1,7.338,24.66,74.61,7.358,14.41
30,27.41,7.747,35.48,74.026,8.33,14.24
31,26.79,6.606,28.12,76.214,8.228,14.05
32,27.01,7.194,30.54,74.903,8.402,13.83
33,26.15,6.706,18.59,74.753,7.321,13.6
34,25.72,5.827,25.43,77.356,7.299,13.35
35,25.65,5.88,32.28,77.432,7.975,13.09
36,25.18,5.62,43.18,77.559,9.505,12.83
37,23.8,5.684,12.01,75.049,7.377,12.56
38,22.46,4.424,29.42,78.62,7.739,12.28
39,22.16,4.1,47.55,79.875,9.784,12.01
40,20.42,4.146,30,77.473,9.361,11.73
41,19.43,3.756,36.9,78.373,9.775,11.46
42,17.57,3.796,12.06,75.66,7.557,11.19
43,16.85,3.464,18.31,76.08,6.743,10.93
44,14.4,3.028,26.37,75.594,7.02,10.68
45,13.05,2.756,18.94,75.357,6.457,10.44
46,12.13,2.331,30.9,77.804,7.288,10.22
47,10.4,2.254,6.68,75.239,5.405,10.03
48,10.14,1.925,19.63,78.75,5.476,9.86
49,8.8,1.747,18.08,79.04,5.368,9.74
50,8.85,1.734,16.63,79.191,5.152,9.65
51,7.61,1.463,20.97,80.701,5.445,9.61
52,8.27,1.45,23.69,81.917,5.91,9.62
