Week,MeanTemp,SatDef,Precip,RelHumid,PrecipIndex,DayLength
   1,       5.4,      1.96,       8.9,     72.21,      0.89,      9.69
   2,      10.7,      1.19,      12.3,     87.57,      1.80,      9.79
   3,       7.5,      1.46,      66.7,     81.64,      7.84,      9.94
   4,       0.6,      1.74,       3.3,     66.01,      5.43,     10.12
   5,       6.2,      2.03,      12.0,     70.11,      4.73,     10.33
   6,       6.6,      1.63,      49.0,     77.82,      7.97,     10.56
   7,       6.1,      1.84,       8.0,     74.74,      5.98,     10.81
   8,       5.7,      1.73,      11.0,     74.65,      4.99,     11.07
   9,       5.9,      1.99,      22.2,     71.79,      5.46,     11.34
  10,       6.5,      1.80,      22.1,     76.42,      5.76,     11.61
  11,       7.8,      1.87,      21.9,     77.71,      5.93,     11.89
  12,       6.0,      2.19,      17.5,     70.54,      5.60,     12.17
  13,       8.6,      2.55,       7.0,     71.26,      4.34,     12.45
  14,       9.6,      2.98,      21.7,     69.50,      4.98,     12.72
  15,      16.2,      3.51,       3.2,     79.16,      3.56,     13.00
  16,      14.2,      2.36,      16.4,     81.43,      3.96,     13.26
  17,      14.2,      3.01,      32.0,     76.33,      5.77,     13.51
  18,      13.8,      1.65,       6.5,     86.50,      4.40,     13.76
  19,      17.7,      4.36,      25.5,     74.48,      5.40,     13.98
  20,      19.2,      4.68,      45.0,     73.91,      8.02,     14.18
  21,      18.8,      4.35,      18.2,     73.23,      7.03,     14.36
  22,      23.6,      5.93,       6.4,     75.73,      5.20,     14.51
  23,      22.5,      3.87,      78.5,     81.29,     11.24,     14.62
  24,      24.2,      7.06,      13.2,     71.26,      8.62,     14.69
  25,      23.3,      4.24,      13.7,     80.87,      6.97,     14.71
  26,      26.1,      6.00,      18.4,     77.92,      6.37,     14.70
  27,      26.7,      5.91,      13.5,     78.83,      5.49,     14.64
  28,      26.8,      6.46,      62.4,     76.91,      9.80,     14.54
  29,      28.2,      7.87,      46.2,     74.35,     10.99,     14.41
  30,      26.0,      5.87,      42.8,     77.57,     11.42,     14.24
  31,      25.1,      5.81,      48.8,     76.25,     12.30,     14.05
  32,      25.5,      4.44,      48.0,     82.21,     12.80,     13.83
  33,      23.8,      4.65,      22.7,     78.64,     10.59,     13.60
  34,      24.5,      4.93,       6.7,     78.88,      7.55,     13.35
  35,      25.3,      4.94,       9.5,     80.47,      5.86,     13.09
  36,      24.5,      5.99,       0.3,     74.82,      3.84,     12.83
  37,      24.1,      6.08,       0.8,     73.38,      2.58,     12.56
  38,      20.7,      4.69,      17.8,     74.38,      3.46,     12.28
  39,      19.4,      4.29,       0.0,     75.10,      2.25,     12.01
  40,      23.0,      6.34,      15.3,     72.36,      2.99,     11.73
  41,      19.7,      2.20,     112.2,     86.96,     13.17,     11.46
  42,      18.3,      3.03,       0.1,     80.00,      8.57,     11.19
  43,      13.5,      3.90,       4.0,     66.98,      5.97,     10.93
  44,      16.6,      3.50,       8.4,     75.16,      4.72,     10.68
  45,      13.1,      3.12,      12.0,     71.82,      4.27,     10.44
  46,      10.8,      2.43,       2.1,     74.67,      2.99,     10.22
  47,       8.9,      2.33,       0.9,     71.69,      2.03,     10.03
  48,       6.9,      1.59,      36.7,     77.77,      4.99,      9.86
  49,      10.4,      1.22,      31.4,     87.83,      6.38,      9.74
  50,       5.9,      1.69,      33.9,     75.97,      7.54,      9.65
  51,      11.0,      1.65,      24.9,     82.33,      7.38,      9.61
  52,       6.5,      1.69,      30.7,     77.24,      7.87,      9.62
